[vidtok.models.autoencoder][AutoencodingEngine] Use ckpt_path: 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt
[vidtok.models.autoencoder][AutoencodingEngine] Restored from 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt with
0 missing and 56 unexpected keys
train clips=60479 val clips=3186
params=70.3M device=cuda
resume last.pt: step 38000 -> 38001, best 7.0367@32000
step 38500 val_loss 7.1157 val_acc 0.0417 | best 7.0367@32000
step 39000 val_loss 7.0924 val_acc 0.0420 | best 7.0367@32000
step 39500 val_loss 7.0783 val_acc 0.0417 | best 7.0367@32000
step 40000 val_loss 7.1203 val_acc 0.0418 | best 7.0367@32000
step 40500 val_loss 7.1073 val_acc 0.0416 | best 7.0367@32000
step 41000 val_loss 7.0944 val_acc 0.0416 | best 7.0367@32000
step 41500 val_loss 7.0741 val_acc 0.0423 | best 7.0367@32000
step 42000 val_loss 7.0942 val_acc 0.0422 | best 7.0367@32000
step 42500 val_loss 7.0791 val_acc 0.0418 | best 7.0367@32000
step 43000 val_loss 7.0882 val_acc 0.0426 | best 7.0367@32000
step 43500 val_loss 7.0689 val_acc 0.0427 | best 7.0367@32000
step 44000 val_loss 7.1277 val_acc 0.0423 | best 7.0367@32000
step 44500 val_loss 7.1020 val_acc 0.0422 | best 7.0367@32000
step 45000 val_loss 7.0724 val_acc 0.0427 | best 7.0367@32000
step 45500 val_loss 7.0568 val_acc 0.0431 | best 7.0367@32000
step 46000 val_loss 7.1015 val_acc 0.0428 | best 7.0367@32000
step 46500 val_loss 7.0789 val_acc 0.0424 | best 7.0367@32000
step 47000 val_loss 7.0943 val_acc 0.0427 | best 7.0367@32000
step 47500 val_loss 7.1131 val_acc 0.0430 | best 7.0367@32000
step 48000 val_loss 7.0943 val_acc 0.0424 | best 7.0367@32000
step 48500 val_loss 7.0897 val_acc 0.0425 | best 7.0367@32000
step 49000 val_loss 7.0605 val_acc 0.0428 | best 7.0367@32000
step 49500 val_loss 7.1199 val_acc 0.0426 | best 7.0367@32000
step 50000 val_loss 7.0892 val_acc 0.0423 | best 7.0367@32000
step 50500 val_loss 7.0807 val_acc 0.0427 | best 7.0367@32000
step 51000 val_loss 7.0648 val_acc 0.0430 | best 7.0367@32000
step 51500 val_loss 7.1341 val_acc 0.0427 | best 7.0367@32000
step 52000 val_loss 7.1090 val_acc 0.0426 | best 7.0367@32000
step 52500 val_loss 7.1018 val_acc 0.0432 | best 7.0367@32000
step 53000 val_loss 7.0869 val_acc 0.0431 | best 7.0367@32000
step 53500 val_loss 7.1234 val_acc 0.0429 | best 7.0367@32000
step 54000 val_loss 7.1068 val_acc 0.0427 | best 7.0367@32000
