[vidtok.models.autoencoder][AutoencodingEngine] Use ckpt_path: 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt
[vidtok.models.autoencoder][AutoencodingEngine] Restored from 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt with
0 missing and 56 unexpected keys
train_win=6056 val_win=319 | train_clips=760 val_clips=40
step 100 loss 5.012 | val retrieval_acc 0.023 hardneg_acc 0.469 | best -1.000 (chance: acc~0.025, hn 0.5)
step 200 loss 3.924 | val retrieval_acc 0.010 hardneg_acc 0.470 | best 0.469 (chance: acc~0.025, hn 0.5)
step 300 loss 2.848 | val retrieval_acc 0.003 hardneg_acc 0.498 | best 0.470 (chance: acc~0.025, hn 0.5)
step 400 loss 1.925 | val retrieval_acc 0.009 hardneg_acc 0.509 | best 0.498 (chance: acc~0.025, hn 0.5)
step 500 loss 1.369 | val retrieval_acc 0.011 hardneg_acc 0.474 | best 0.509 (chance: acc~0.025, hn 0.5)
step 600 loss 0.748 | val retrieval_acc 0.006 hardneg_acc 0.485 | best 0.509 (chance: acc~0.025, hn 0.5)
step 700 loss 0.616 | val retrieval_acc 0.005 hardneg_acc 0.511 | best 0.509 (chance: acc~0.025, hn 0.5)
step 800 loss 0.435 | val retrieval_acc 0.013 hardneg_acc 0.475 | best 0.511 (chance: acc~0.025, hn 0.5)
step 900 loss 0.242 | val retrieval_acc 0.005 hardneg_acc 0.438 | best 0.511 (chance: acc~0.025, hn 0.5)
step 1000 loss 0.217 | val retrieval_acc 0.015 hardneg_acc 0.520 | best 0.511 (chance: acc~0.025, hn 0.5)
step 1100 loss 0.241 | val retrieval_acc 0.005 hardneg_acc 0.491 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1200 loss 0.150 | val retrieval_acc 0.009 hardneg_acc 0.498 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1300 loss 0.145 | val retrieval_acc 0.008 hardneg_acc 0.498 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1400 loss 0.142 | val retrieval_acc 0.004 hardneg_acc 0.495 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1500 loss 0.127 | val retrieval_acc 0.009 hardneg_acc 0.461 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1600 loss 0.106 | val retrieval_acc 0.015 hardneg_acc 0.474 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1700 loss 0.094 | val retrieval_acc 0.005 hardneg_acc 0.483 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1800 loss 0.078 | val retrieval_acc 0.018 hardneg_acc 0.509 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1900 loss 0.097 | val retrieval_acc 0.009 hardneg_acc 0.510 | best 0.520 (chance: acc~0.025, hn 0.5)
step 2000 loss 0.065 | val retrieval_acc 0.009 hardneg_acc 0.480 | best 0.520 (chance: acc~0.025, hn 0.5)
step 2100 loss 0.064 | val retrieval_acc 0.006 hardneg_acc 0.505 | best 0.520 (chance: acc~0.025, hn 0.5)
step 2200 loss 0.051 | val retrieval_acc 0.011 hardneg_acc 0.478 | best 0.520 (chance: acc~0.025, hn 0.5)
step 2300 loss 0.062 | val retrieval_acc 0.005 hardneg_acc 0.505 | best 0.520 (chance: acc~0.025, hn 0.5)
step 2400 loss 0.039 | val retrieval_acc 0.015 hardneg_acc 0.509 | best 0.520 (chance: acc~0.025, hn 0.5)
step 2500 loss 0.035 | val retrieval_acc 0.006 hardneg_acc 0.495 | best 0.520 (chance: acc~0.025, hn 0.5)
step 2600 loss 0.026 | val retrieval_acc 0.004 hardneg_acc 0.506 | best 0.520 (chance: acc~0.025, hn 0.5)
step 2700 loss 0.027 | val retrieval_acc 0.008 hardneg_acc 0.488 | best 0.520 (chance: acc~0.025, hn 0.5)
step 2800 loss 0.038 | val retrieval_acc 0.013 hardneg_acc 0.489 | best 0.520 (chance: acc~0.025, hn 0.5)
step 2900 loss 0.022 | val retrieval_acc 0.013 hardneg_acc 0.504 | best 0.520 (chance: acc~0.025, hn 0.5)
step 3000 loss 0.025 | val retrieval_acc 0.015 hardneg_acc 0.535 | best 0.520 (chance: acc~0.025, hn 0.5)
step 3100 loss 0.017 | val retrieval_acc 0.010 hardneg_acc 0.510 | best 0.535 (chance: acc~0.025, hn 0.5)
step 3200 loss 0.016 | val retrieval_acc 0.009 hardneg_acc 0.493 | best 0.535 (chance: acc~0.025, hn 0.5)
step 3300 loss 0.022 | val retrieval_acc 0.008 hardneg_acc 0.519 | best 0.535 (chance: acc~0.025, hn 0.5)
step 3400 loss 0.021 | val retrieval_acc 0.014 hardneg_acc 0.495 | best 0.535 (chance: acc~0.025, hn 0.5)
step 3500 loss 0.025 | val retrieval_acc 0.010 hardneg_acc 0.514 | best 0.535 (chance: acc~0.025, hn 0.5)
step 3600 loss 0.022 | val retrieval_acc 0.009 hardneg_acc 0.548 | best 0.535 (chance: acc~0.025, hn 0.5)
step 3700 loss 0.011 | val retrieval_acc 0.010 hardneg_acc 0.521 | best 0.548 (chance: acc~0.025, hn 0.5)
step 3800 loss 0.013 | val retrieval_acc 0.010 hardneg_acc 0.499 | best 0.548 (chance: acc~0.025, hn 0.5)
step 3900 loss 0.011 | val retrieval_acc 0.013 hardneg_acc 0.486 | best 0.548 (chance: acc~0.025, hn 0.5)
step 4000 loss 0.011 | val retrieval_acc 0.005 hardneg_acc 0.471 | best 0.548 (chance: acc~0.025, hn 0.5)
DONE best val hardneg_acc = 0.548
