[vidtok.models.autoencoder][AutoencodingEngine] Use ckpt_path: 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt
[vidtok.models.autoencoder][AutoencodingEngine] Restored from 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt with
0 missing and 56 unexpected keys
train_win=15136 val_win=788 | train_clips=1899 val_clips=99 | mouth_in=768 (student feats)
step 100 loss 5.221 | val retrieval_acc 0.003 hardneg_acc 0.479 | best -1.000 (chance: acc~0.010, hn 0.5)
step 200 loss 5.197 | val retrieval_acc 0.003 hardneg_acc 0.489 | best 0.479 (chance: acc~0.010, hn 0.5)
step 300 loss 5.183 | val retrieval_acc 0.006 hardneg_acc 0.509 | best 0.489 (chance: acc~0.010, hn 0.5)
step 400 loss 5.104 | val retrieval_acc 0.015 hardneg_acc 0.505 | best 0.509 (chance: acc~0.010, hn 0.5)
step 500 loss 5.000 | val retrieval_acc 0.008 hardneg_acc 0.506 | best 0.509 (chance: acc~0.010, hn 0.5)
step 600 loss 4.937 | val retrieval_acc 0.003 hardneg_acc 0.485 | best 0.509 (chance: acc~0.010, hn 0.5)
step 700 loss 4.772 | val retrieval_acc 0.008 hardneg_acc 0.505 | best 0.509 (chance: acc~0.010, hn 0.5)
step 800 loss 4.804 | val retrieval_acc 0.006 hardneg_acc 0.509 | best 0.509 (chance: acc~0.010, hn 0.5)
step 900 loss 4.726 | val retrieval_acc 0.007 hardneg_acc 0.504 | best 0.509 (chance: acc~0.010, hn 0.5)
step 1000 loss 4.618 | val retrieval_acc 0.006 hardneg_acc 0.499 | best 0.509 (chance: acc~0.010, hn 0.5)
step 1100 loss 4.615 | val retrieval_acc 0.007 hardneg_acc 0.501 | best 0.509 (chance: acc~0.010, hn 0.5)
step 1200 loss 4.447 | val retrieval_acc 0.004 hardneg_acc 0.491 | best 0.509 (chance: acc~0.010, hn 0.5)
step 1300 loss 4.357 | val retrieval_acc 0.009 hardneg_acc 0.510 | best 0.509 (chance: acc~0.010, hn 0.5)
step 1400 loss 4.111 | val retrieval_acc 0.005 hardneg_acc 0.510 | best 0.510 (chance: acc~0.010, hn 0.5)
step 1500 loss 4.186 | val retrieval_acc 0.006 hardneg_acc 0.509 | best 0.510 (chance: acc~0.010, hn 0.5)
step 1600 loss 4.452 | val retrieval_acc 0.007 hardneg_acc 0.485 | best 0.510 (chance: acc~0.010, hn 0.5)
step 1700 loss 4.002 | val retrieval_acc 0.010 hardneg_acc 0.497 | best 0.510 (chance: acc~0.010, hn 0.5)
step 1800 loss 3.867 | val retrieval_acc 0.003 hardneg_acc 0.478 | best 0.510 (chance: acc~0.010, hn 0.5)
step 1900 loss 3.804 | val retrieval_acc 0.005 hardneg_acc 0.506 | best 0.510 (chance: acc~0.010, hn 0.5)
step 2000 loss 3.670 | val retrieval_acc 0.004 hardneg_acc 0.486 | best 0.510 (chance: acc~0.010, hn 0.5)
step 2100 loss 3.858 | val retrieval_acc 0.006 hardneg_acc 0.492 | best 0.510 (chance: acc~0.010, hn 0.5)
step 2200 loss 3.720 | val retrieval_acc 0.007 hardneg_acc 0.509 | best 0.510 (chance: acc~0.010, hn 0.5)
step 2300 loss 3.750 | val retrieval_acc 0.008 hardneg_acc 0.504 | best 0.510 (chance: acc~0.010, hn 0.5)
step 2400 loss 3.761 | val retrieval_acc 0.006 hardneg_acc 0.498 | best 0.510 (chance: acc~0.010, hn 0.5)
step 2500 loss 3.614 | val retrieval_acc 0.006 hardneg_acc 0.481 | best 0.510 (chance: acc~0.010, hn 0.5)
step 2600 loss 3.628 | val retrieval_acc 0.004 hardneg_acc 0.494 | best 0.510 (chance: acc~0.010, hn 0.5)
step 2700 loss 3.744 | val retrieval_acc 0.004 hardneg_acc 0.485 | best 0.510 (chance: acc~0.010, hn 0.5)
step 2800 loss 3.502 | val retrieval_acc 0.004 hardneg_acc 0.491 | best 0.510 (chance: acc~0.010, hn 0.5)
step 2900 loss 3.310 | val retrieval_acc 0.007 hardneg_acc 0.483 | best 0.510 (chance: acc~0.010, hn 0.5)
step 3000 loss 3.545 | val retrieval_acc 0.004 hardneg_acc 0.510 | best 0.510 (chance: acc~0.010, hn 0.5)
step 3100 loss 3.499 | val retrieval_acc 0.003 hardneg_acc 0.517 | best 0.510 (chance: acc~0.010, hn 0.5)
step 3200 loss 3.491 | val retrieval_acc 0.003 hardneg_acc 0.485 | best 0.517 (chance: acc~0.010, hn 0.5)
step 3300 loss 3.352 | val retrieval_acc 0.005 hardneg_acc 0.497 | best 0.517 (chance: acc~0.010, hn 0.5)
step 3400 loss 3.293 | val retrieval_acc 0.006 hardneg_acc 0.484 | best 0.517 (chance: acc~0.010, hn 0.5)
step 3500 loss 3.132 | val retrieval_acc 0.005 hardneg_acc 0.471 | best 0.517 (chance: acc~0.010, hn 0.5)
step 3600 loss 3.236 | val retrieval_acc 0.005 hardneg_acc 0.511 | best 0.517 (chance: acc~0.010, hn 0.5)
step 3700 loss 3.260 | val retrieval_acc 0.005 hardneg_acc 0.475 | best 0.517 (chance: acc~0.010, hn 0.5)
step 3800 loss 3.343 | val retrieval_acc 0.004 hardneg_acc 0.481 | best 0.517 (chance: acc~0.010, hn 0.5)
step 3900 loss 3.135 | val retrieval_acc 0.004 hardneg_acc 0.504 | best 0.517 (chance: acc~0.010, hn 0.5)
step 4000 loss 3.303 | val retrieval_acc 0.007 hardneg_acc 0.493 | best 0.517 (chance: acc~0.010, hn 0.5)
DONE best val hardneg_acc = 0.517
